Product URL,Product Name,Product Price,Rating,Number of Reviews
https://www.amazon.in/MosQuick%C2%AE-Drawstring-Organizing-Stationery-multipurpose/dp/B09SB42QFQ/ref=sr_1_136?crid=2M096C61O4MLT&keywords=bags&qid=1690514453&sprefix=ba%2Caps%2C283&sr=8-136,MosQuick® Clear large Drawstring,₹310,4.0 out of 5 stars,69
https://www.amazon.in/Tabelito-NEXA-Backpack-Business-Compartment/dp/B0C2D4KWQ6/ref=sr_1_137?crid=2M096C61O4MLT&keywords=bags&qid=1690514453&sprefix=ba%2Caps%2C283&sr=8-137,Tabelito® NEXA 3O L Water Resistant Laptop/College/Office/School/Travel/Business,₹399,4.3 out of 5 stars,83
https://www.amazon.in/DZert-School-Polyester-Backpack-White/dp/B07GXYHFCY/ref=sr_1_138?crid=2M096C61O4MLT&keywords=bags&qid=1690514453&sprefix=ba%2Caps%2C283&sr=8-138,DZert Clasy Laptop,₹339,3.8 out of 5 stars,"2,504"
https://www.amazon.in/Half-Moon-Spacious-Backpack-Compartment/dp/B0C23BYDML/ref=sr_1_139?crid=2M096C61O4MLT&keywords=bags&qid=1690514453&sprefix=ba%2Caps%2C283&sr=8-139,Half Moon Strike 35L Unisex Spacious School/Laptop/College/Office Travel Backpack,₹699,3.5 out of 5 stars,20
https://www.amazon.in/Half-Moon-Laptop-Backpack-Polyester/dp/B09CMS3K2S/ref=sr_1_140?crid=2M096C61O4MLT&keywords=bags&qid=1690514453&sprefix=ba%2Caps%2C283&sr=8-140,Half Moon 30L Water Resistant 15.6 inch Laptop,₹599,3.6 out of 5 stars,76
https://www.amazon.in/EUME-Virgo-29Ltr-Laptop-Backpack/dp/B08R563J3T/ref=sr_1_141?crid=2M096C61O4MLT&keywords=bags&qid=1690514453&sprefix=ba%2Caps%2C283&sr=8-141,EUME Virgo 3 Compartment Office and College,"₹1,199",4.2 out of 5 stars,298
https://www.amazon.in/ADISA-BP005-Weight-Casual-Backpack/dp/B07F3X45WZ/ref=sr_1_142?crid=2M096C61O4MLT&keywords=bags&qid=1690514453&sprefix=ba%2Caps%2C283&sr=8-142,ADISA Light Weight Laptop Backpack 32 Ltrs,₹475,4.0 out of 5 stars,"6,028"
https://www.amazon.in/Aristocrat-Unisex-Oxford-Fabric-28-82L/dp/B09ZV86P4S/ref=sr_1_143?crid=2M096C61O4MLT&keywords=bags&qid=1690514453&sprefix=ba%2Caps%2C283&sr=8-143,Aristocrat Unisex Black Oxford Fabric 28.82L Laptop,₹754,3.5 out of 5 stars,63
https://www.amazon.in/BUSINESS-ANTI-THEFT-OFFICE-LAPTOP-BACKPACK/dp/B0B466YD7L/ref=sr_1_144?crid=2M096C61O4MLT&keywords=bags&qid=1690514453&sprefix=ba%2Caps%2C283&sr=8-144,Gear 25L Suave Business Anti-Theft Office Laptop Backpack F0R Men/Women (Black),₹915,4.1 out of 5 stars,71
https://www.amazon.in/Half-Moon-Laptop-Backpack-Polyester/dp/B09CMS3K2S/ref=sr_1_161?crid=2M096C61O4MLT&keywords=bags&qid=1690514459&sprefix=ba%2Caps%2C283&sr=8-161,Half Moon 30L Water Resistant 15.6 inch Laptop Bag/Backpack for Men | School Bag for Boys Girls | Office Bag pack for Men/Office Back Packed for Women with Padded Laptop Compartment,₹599,3.6 out of 5 stars,76
https://www.amazon.in/Right-Choice-Stylish-College-Backpack/dp/B07ZVXDHCK/ref=sr_1_162?crid=2M096C61O4MLT&keywords=bags&qid=1690514459&sprefix=ba%2Caps%2C283&sr=8-162,RIGHTCHOICE Quality Stylish Casual Backpack Daily use Unisex Typography College Bags (Boys and Girls),₹259,3.5 out of 5 stars,976
https://www.amazon.in/DZert-Fabric-Multicolour-Spiderman-Printed/dp/B07BNS3KNX/ref=sr_1_163?crid=2M096C61O4MLT&keywords=bags&qid=1690514459&sprefix=ba%2Caps%2C283&sr=8-163,DZert Kids School Bag Soft Plush Backpacks Cartoon Boys Girls Baby (2-5 Years),₹249,3.8 out of 5 stars,"12,616"
https://www.amazon.in/Urban-Tribe-Laptop-Backpack-Havana/dp/B01LXNNFDF/ref=sr_1_164?crid=2M096C61O4MLT&keywords=bags&qid=1690514459&sprefix=ba%2Caps%2C283&sr=8-164,"URBAN TRIBE Havana Laptop Backpack for Men & Women | Laptop Bag 15.6 inch | Office Work/Casual/College Bag | Black, 27L",₹939,3.9 out of 5 stars,787
https://www.amazon.in/Gear-Black-Casual-Backpack-MDBKPECO50104/dp/B0757MBSS6/ref=sr_1_165?crid=2M096C61O4MLT&keywords=bags&qid=1690514459&sprefix=ba%2Caps%2C283&sr=8-165,Gear Casual Backpack,₹448,3.8 out of 5 stars,"2,213"
